sequence,filename,image_path,mask_path,accuracy,balanced_accuracy,macro_f1,high_risk_recall,unsafe_to_safe_error_rate,unsafe_to_medium_error_rate,safe_to_high_risk_rate,total_pixels,precision_low_risk,precision_medium_risk,precision_high_risk,recall_low_risk,recall_medium_risk,recall_high_risk,f1_low_risk,f1_medium_risk,f1_high_risk
creek,creek_01021.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01021.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\creek\creek_01021.png,0.4666516913319239,0.2314315068180611,0.2524039814283079,0.562269900138781,0.20977981670054188,0.22795028316067714,0.9174242424242425,378400,0.0,0.1391323260366158,0.6952446484463503,0.0,0.13202462031540227,0.562269900138781,0.0,0.13548531775200273,0.621726626532921
creek,creek_01086.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01086.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\creek\creek_01086.png,0.5490248414376321,0.5471400105276137,0.29989181766586764,0.5803661859834754,0.41958157635839677,5.223765812774429e-05,0.0,378400,0.03829014792918056,0.9894859813084113,0.9172181937430915,1.0,0.06105384559936568,0.5803661859834754,0.07375616152295851,0.11501120238984316,0.7109080890848012
creek,creek_01221.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01221.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\creek\creek_01221.png,0.3683007399577167,0.2966141335431955,0.25867820275154646,0.4528945203940765,0.5470873628105671,1.8116795356303015e-05,,378400,0.0,0.9996522222995061,0.6385077493640107,0.0,0.14033374669231446,0.4528945203940765,0.0,0.24611696206867026,0.5299176461859691
creek,creek_01301.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01301.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\creek\creek_01301.png,0.7177748414376321,0.6201296782194151,0.42022248077910973,0.9962540413987885,0.002709130774090453,0.0010368278271210376,0.03052064631956912,378400,0.24318004676539362,0.859515111258718,0.7215427679388491,0.8402154398563735,0.023919553403083292,0.9962540413987885,0.3771912149909329,0.046543832672403716,0.8369323946739927
creek,creek_03561.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_03561.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\creek\creek_03561.png,0.9534090909090909,0.9576051095101141,0.6355205940942287,1.0,0.0,0.0,,378400,0.0,1.0,0.9062752519882619,0.0,0.9152102190202284,1.0,0.0,0.955728211901904,0.950833570380782
creek,creek_03836.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_03836.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\creek\creek_03836.png,0.9436680761099365,0.6338440616351945,0.6298243876122566,0.9895289215509685,0.0,0.010471078449031545,0.011764705882352941,378400,0.0,0.98588906094572,0.898764274106471,0.0,0.9120032633546147,0.9895289215509685,0.0,0.9475079585661769,0.9419652042705928
park-8,park-8_00016.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\park-8\park-8_00016.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\park-8\park-8_00016.png,0.9920137420718816,0.9398606915402032,0.9506073149264923,0.9958652168076252,0.0029265673244730835,0.0012082158679017317,0.0006818900902276967,378400,0.9931087372726481,0.8988846672386321,0.9950103280843415,0.9960450374766794,0.8276718203363052,0.9958652168076252,0.9945747201568755,0.8618096357226792,0.9954375888999223
park-8,park-8_00381.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\park-8\park-8_00381.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\park-8\park-8_00381.png,0.9909698731501058,0.6598131077049377,0.6592330134781296,0.9941288531668995,0.0,0.0058711468331004955,0.0,378400,0.0,0.9814334431198811,0.9945330395356351,0.0,0.9853104699479136,0.9941288531668995,0.0,0.9833681351576303,0.9943309052767585
park-8,park-8_01536.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\park-8\park-8_01536.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\park-8\park-8_01536.png,0.9731976744186046,0.7658495475010992,0.8097581491727507,0.9830360693853826,0.0015551544446823916,0.01540877616993504,0.5466249548790759,378400,0.8541266794625719,0.9767117170586672,0.971940048699089,0.3212609794248586,0.9932515936930567,0.9830360693853826,0.46690565707790505,0.9849122207022344,0.9774565697381129
trail-10,trail-10_00096.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-10\trail-10_00096.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail-10\trail-10_00096.png,0.9802484143763214,0.6557193441410257,0.6547387063551584,0.9986694783350907,0.0,0.001330521664909374,0.0,378400,0.0,0.9892063163463639,0.9726310745127187,0.0,0.9684885540879866,0.9986694783350907,0.0,0.9787378099432175,0.9854783091222576
trail-11,trail-11_00381.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-11\trail-11_00381.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail-11\trail-11_00381.png,0.9454096194503171,0.9387715331366132,0.8926644909233353,0.997632493605494,0.0,0.002367506394506042,0.0007929821083411806,378400,0.6507620246085011,0.9879211775470227,0.9534675974217016,0.9226842444367349,0.8959978613676108,0.997632493605494,0.7632264015578559,0.9397168816679858,0.9750501895441641
trail-11,trail-11_01786.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-11\trail-11_01786.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail-11\trail-11_01786.png,0.9430813953488372,0.9106056212943034,0.924996804884207,0.9934147116011388,3.8999169874812666e-05,0.006546289228986412,0.0,378400,0.973703197387408,0.894001123911211,0.9723894596775953,0.7865732077671094,0.9518289445146623,0.9934147116011388,0.8701915734817506,0.9220091932872341,0.9827896478836365
trail-3,trail-3_01476.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-3\trail-3_01476.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail-3\trail-3_01476.png,0.619223044397463,0.5949026305430345,0.4345919723237104,0.9987487163125517,0.0004636230395724698,0.0007876606478758088,,378400,0.0,0.9953705060212722,0.9681211945491447,0.0,0.19105654477351722,0.9987487163125517,0.0,0.32057942293627767,0.9831964940348535
trail-3,trail-3_01576.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-3\trail-3_01576.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail-3\trail-3_01576.png,0.7071141649048626,0.3541546906609117,0.37373966158103644,0.982759210871624,0.00858806570745047,0.008652723420925518,0.0,378400,0.0,0.7825123572524288,0.9704096233508219,0.0,0.07970486111111111,0.982759210871624,0.0,0.144673609907511,0.9765453748355983
trail-3,trail-3_02691.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-3\trail-3_02691.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail-3\trail-3_02691.png,0.8891437632135306,0.8645787978583951,0.8527923786870462,0.99048318171093,0.00016778963374669008,0.009349028655323388,0.000441527095046066,378400,0.9984879746735758,0.6763999067666514,0.9916531051498766,0.6220135597876745,0.9812396520765805,0.99048318171093,0.7665195574632729,0.8007897804315247,0.9910677981663409
trail-4,trail-4_02091.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-4\trail-4_02091.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail-4\trail-4_02091.png,0.6944873150105708,0.7675683282437631,0.522152609219292,0.97892204847191,0.01598677770508576,0.005091173823004235,0.01758312020460358,378400,0.05982789502375204,0.9823604601619088,0.9171002364087982,0.9824168797953964,0.34136605646398305,0.97892204847191,0.11278719812082508,0.5066673698830024,0.9470032596540484
