sequence,filename,image_path,mask_path,accuracy,balanced_accuracy,macro_f1,high_risk_recall,unsafe_to_safe_error_rate,unsafe_to_medium_error_rate,safe_to_high_risk_rate,total_pixels,precision_low_risk,precision_medium_risk,precision_high_risk,recall_low_risk,recall_medium_risk,recall_high_risk,f1_low_risk,f1_medium_risk,f1_high_risk
creek,creek_01021.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01021.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\creek\creek_01021.png,0.6723467230443975,0.3746642082599228,0.2800768084155727,0.8613276146978884,0.0669881136985976,0.07168427160351397,0.7401515151515151,378400,0.017037552155771907,0.010862440303399194,0.7534386037814254,0.25984848484848483,0.0028165252333952483,0.8613276146978884,0.031978370315122136,0.004473194574323478,0.8037788603572725
creek,creek_01086.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01086.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\creek\creek_01086.png,0.6358403805496828,0.5067877287447818,0.4393418303469209,0.6601214815760682,0.3311548295165985,0.008723688907333297,0.5048559670781892,378400,0.02432554829527075,0.771163215590743,0.9414588920896659,0.4951440329218107,0.3650976717364665,0.6601214815760682,0.04637287926555719,0.4955726236485495,0.7760799881266559
creek,creek_01221.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01221.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\creek\creek_01221.png,0.6243313953488372,0.6485526741334924,0.5056302855053653,0.595749075137597,0.3880508864547968,0.016200038407606154,,378400,0.0,0.9414015911086646,0.8878682823570071,0.0,0.7013562731293879,0.595749075137597,0.0,0.803840816509244,0.713050040006852
creek,creek_01301.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01301.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\creek\creek_01301.png,0.6924947145877378,0.34054160533443173,0.3204510379802505,0.9416403433795384,0.054743766026236575,0.0036158905942249805,0.0,378400,0.0,0.8056977935015361,0.7196768943686573,0.0,0.07998447262375688,0.9416403433795384,0.0,0.14552241943213634,0.8158306945086151
creek,creek_03561.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_03561.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\creek\creek_03561.png,0.9520190274841438,0.9563265007106678,0.6345955052234008,0.9998474840738177,0.0,0.00015251592618229173,,378400,0.0,0.9998630295750756,0.9038594109599211,0.0,0.9128055173475179,0.9998474840738177,0.0,0.9543530074318414,0.949433508238361
creek,creek_03836.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_03836.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\creek\creek_03836.png,0.9445983086680761,0.6345002067820964,0.6304504869624834,0.9909518834732279,0.0,0.009048116526772098,0.00980392156862745,378400,0.0,0.987086082521831,0.8994681024992642,0.0,0.9125487368730612,0.9909518834732279,0.0,0.9483550718208078,0.9429963890666423
park-8,park-8_00016.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\park-8\park-8_00016.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\park-8\park-8_00016.png,0.9939059196617336,0.9590593184317964,0.9621794876083577,0.9964612699691233,0.00118673647469459,0.002351993556182038,0.0012383124038534972,378400,0.9963025979975133,0.9040969417195615,0.995723400031122,0.9966178251524707,0.8840988601737952,0.9964612699691233,0.9964601866447043,0.8939860778272282,0.9960921983531406
park-8,park-8_00381.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\park-8\park-8_00381.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\park-8\park-8_00381.png,0.9775766384778013,0.6409607458837269,0.6475455301515592,0.998348966743473,0.0,0.0016510332565270243,0.16382252559726962,378400,0.0,0.9926690056029743,0.9724829012247495,0.0,0.9245332709077076,0.998348966743473,0.0,0.9573903952890555,0.9852461951656222
park-8,park-8_01536.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\park-8\park-8_01536.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\park-8\park-8_01536.png,0.9598837209302326,0.8556475442581126,0.8081047851202608,0.9857180734440807,0.0005914685756824834,0.01369045798023679,0.2692816748887017,378400,0.38197611292073835,0.9792924576003997,0.9839120122962918,0.634941643604861,0.9462829157253962,0.9857180734440807,0.4769953900388683,0.962504750489666,0.9848142148322482
trail-10,trail-10_00096.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-10\trail-10_00096.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail-10\trail-10_00096.png,0.9753118393234672,0.6521686108951198,0.6514025233009965,0.9997841040317317,0.0,0.0002158959682683135,0.0,378400,0.0,0.9903546909421514,0.9628313363698783,0.0,0.9567217286536275,0.9997841040317317,0.0,0.9732477291210867,0.9809598407819028
trail-11,trail-11_00381.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-11\trail-11_00381.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail-11\trail-11_00381.png,0.9442838266384778,0.948775151574878,0.8944819705800043,0.9987015094952119,0.0005596941830983551,0.0007387963216898286,0.0015364028349110373,378400,0.645530353569046,0.9942350360232344,0.9492945607763024,0.9591614214204291,0.8884625238089934,0.9987015094952119,0.7716968718224774,0.9383775580430933,0.9733714818744426
trail-11,trail-11_01786.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-11\trail-11_01786.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail-11\trail-11_01786.png,0.9677431289640592,0.9659675965017219,0.9655747659765538,0.9930581477622833,6.128440980327704e-05,0.006880567827913377,3.067578760084665e-05,378400,0.9538540086795909,0.9771399403172609,0.9662703898258225,0.9742630142028896,0.930581627539993,0.9930581477622833,0.9639504973784249,0.9532926516274598,0.9794811489237769
