condition,sequence,filename,image_path,accuracy,balanced_accuracy,macro_f1,high_risk_recall,unsafe_to_safe_error_rate,unsafe_to_medium_error_rate,safe_to_high_risk_rate,mean_confidence_proxy,runtime_seconds,total_pixels,precision_low_risk,precision_medium_risk,precision_high_risk,recall_low_risk,recall_medium_risk,recall_high_risk,f1_low_risk,f1_medium_risk,f1_high_risk
normal,creek,creek_01021.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01021.png,0.6723467230443975,0.3746642082599228,0.2800768084155727,0.8613276146978884,0.0669881136985976,0.07168427160351397,0.7401515151515151,0.908627450466156,1.2209478000877425,378400,0.017037552155771907,0.010862440303399194,0.7534386037814254,0.25984848484848483,0.0028165252333952483,0.8613276146978884,0.031978370315122136,0.004473194574323478,0.8037788603572725
low_light,creek,creek_01021.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01021.png,0.6666596194503172,0.3853528937205839,0.2871400710743139,0.8514772199016657,0.05181721630489737,0.09670556379343692,0.6984848484848485,0.9059006571769714,0.10636600002180785,378400,0.024572988761191187,0.03188455008488964,0.7531129858553846,0.29318181818181815,0.011399643078267838,0.8514772199016657,0.04534536293866073,0.016794698670196118,0.7992801516140847
gaussian_blur,creek,creek_01021.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01021.png,0.7363345665961945,0.31514590098481327,0.2827160850840171,0.9454377029544399,0.05294714447132595,0.0016151525742342447,1.0,0.9126219153404236,0.11301880003884435,378400,0.0,0.0,0.7690135791565467,0.0,0.0,0.9454377029544399,0.0,0.0,0.8481482552520513
fog,creek,creek_01021.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01021.png,0.72205866807611,0.3171427530015092,0.2897656881933887,0.9234566979630754,0.008357396618359127,0.06818590541856544,0.7681818181818182,0.9176805019378662,0.11216090002562851,378400,0.008054772452678213,0.04926062415449923,0.7677471225457008,0.015151515151515152,0.012820045889936993,0.9234566979630754,0.010518012095713911,0.02034525277435265,0.8384337997100997
synthetic_snow,creek,creek_01021.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01021.png,0.5290063424947146,0.2277317111660416,0.2322913758111053,0.6776956251760211,0.033650143022439086,0.2886542318015398,1.0,0.8619993925094604,0.11334399995394051,378400,0.0,0.005296882673464138,0.705832252501228,0.0,0.005499508322103653,0.6776956251760211,0.0,0.005396294068245847,0.6914778333650701
normal,creek,creek_01086.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01086.png,0.6358403805496828,0.5067877287447818,0.4393418303469209,0.6601214815760682,0.3311548295165985,0.008723688907333297,0.5048559670781892,0.9127107262611389,0.10115320002660155,378400,0.02432554829527075,0.771163215590743,0.9414588920896659,0.4951440329218107,0.3650976717364665,0.6601214815760682,0.04637287926555719,0.4955726236485495,0.7760799881266559
low_light,creek,creek_01086.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01086.png,0.6254413319238901,0.5093520525513912,0.4401167827665638,0.6476134645465916,0.3436280214406566,0.008758514012751793,0.4962962962962963,0.9142366051673889,0.10910179989878088,378400,0.023909051842012734,0.7759631801647985,0.9418005942332366,0.5037037037037037,0.376738989403878,0.6476134645465916,0.045651200954796356,0.5072178955285439,0.7674812518163512
gaussian_blur,creek,creek_01086.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01086.png,0.5525369978858351,0.4495328319085982,0.3449349419824011,0.5825630697169589,0.4127239326830712,0.004712997599969819,0.40411522633744856,0.9416607618331909,0.09966510010417551,378400,0.023656265316124817,0.7440504334121355,0.9164908916586769,0.5958847736625514,0.17015065234628415,0.5825630697169589,0.04550597108736643,0.2769645947610806,0.7123342600987563
fog,creek,creek_01086.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01086.png,0.6375237843551798,0.4937849979010855,0.4802952005388956,0.6533770194933528,0.3390369117096515,0.007586068796995755,0.682798353909465,0.9260280132293701,0.10492920002434403,378400,0.015388792614657285,0.8442749910639819,0.9523970675950642,0.31720164609053497,0.5107763281193686,0.6533770194933528,0.029353521813307335,0.6364861223389922,0.7750459574643872
synthetic_snow,creek,creek_01086.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01086.png,0.5482478858350951,0.5179992755121066,0.26212936550380056,0.5848760371351708,0.41497595616680066,0.00014800669802860882,0.03242798353909465,0.9647175669670105,0.09524289995897561,378400,0.037759120195797545,0.4574468085106383,0.9052305342825702,0.9675720164609054,0.0015497729402436386,0.5848760371351708,0.07268185921135606,0.0030890804597701145,0.7106171568402755
normal,creek,creek_01221.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01221.png,0.6243313953488372,0.6485526741334924,0.5056302855053653,0.595749075137597,0.3880508864547968,0.016200038407606154,,0.8662292957305908,0.09766640001907945,378400,0.0,0.9414015911086646,0.8878682823570071,0.0,0.7013562731293879,0.595749075137597,0.0,0.803840816509244,0.713050040006852
low_light,creek,creek_01221.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01221.png,0.6106342494714587,0.6156241852560009,0.4868921047330268,0.6047458757115372,0.38064111715406884,0.01461300713439401,,0.8590189814567566,0.10307440010365099,378400,0.0,0.9408607669183958,0.855284869479661,0.0,0.6265024948004648,0.6047458757115372,0.0,0.7521569914658164,0.7085193227332641
gaussian_blur,creek,creek_01221.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01221.png,0.454931289640592,0.48737163521355076,0.41414505415523256,0.4166500596042567,0.5703928083569154,0.012957132038827916,,0.8676988482475281,0.10170300002209842,378400,0.0,0.9411183560561154,0.77423915970913,0.0,0.5580932108228448,0.4166500596042567,0.0,0.7006773115939808,0.541757850871717
fog,creek,creek_01221.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01221.png,0.5521353065539112,0.569514923324596,0.4641627442991463,0.5316264896534981,0.4583947794642501,0.0099787308822517,,0.8726024031639099,0.09833479998633265,378400,0.0,0.9576046798029557,0.8334346331903775,0.0,0.6074033569956939,0.5316264896534981,0.0,0.7433218022022668,0.649166430695172
synthetic_snow,creek,creek_01221.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01221.png,0.3220507399577167,0.22152157911350076,0.16741873359052895,0.44068017696485706,0.5593198230351429,0.0,,0.9189971089363098,0.10905729990918189,378400,0.0,1.0,0.5712500880674479,0.0,0.0023629812621444543,0.44068017696485706,0.0,0.004714821489454971,0.4975413792821319
normal,creek,creek_01301.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01301.png,0.6924947145877378,0.34054160533443173,0.3204510379802505,0.9416403433795384,0.054743766026236575,0.0036158905942249805,0.0,0.9036340713500977,0.09623159992042929,378400,0.0,0.8056977935015361,0.7196768943686573,0.0,0.07998447262375688,0.9416403433795384,0.0,0.14552241943213634,0.8158306945086151
low_light,creek,creek_01301.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01301.png,0.6904624735729387,0.3379919237277025,0.31592331136216245,0.9420045337991007,0.0540822773049909,0.003913188895908432,0.0,0.9068671464920044,0.09694800002034754,378400,0.0,0.782298573437814,0.7196568141748692,0.0,0.0719712373840068,0.9420045337991007,0.0,0.13181548878544225,0.8159544453010451
gaussian_blur,creek,creek_01301.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01301.png,0.6861733615221988,0.44039369273106216,0.32116637331347603,0.9392136459920473,0.05947824148054554,0.001308112527407187,0.04757630161579892,0.7876803874969482,0.09713320003356785,378400,0.01988005330964016,0.8614030478192328,0.7164039911559612,0.3213644524236984,0.06060297977744094,0.9392136459920473,0.037443782031168285,0.11323915446255872,0.812816183446701
fog,creek,creek_01301.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01301.png,0.6807161733615222,0.3298221622895171,0.30331549485568776,0.9355643093388829,0.06185662789401315,0.002579062767103943,0.004488330341113106,0.8884120583534241,0.1013010999886319,378400,0.0,0.7638506876227897,0.7129837579121766,0.0,0.05390217752966838,0.9355643093388829,0.0,0.10069843133530748,0.8092480532317559
synthetic_snow,creek,creek_01301.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01301.png,0.6402008456659619,0.30401343536572434,0.2724748330867053,0.8923445687316511,0.10320338920063919,0.004452042067709688,1.0,0.8713668584823608,0.09696680004708469,378400,0.0,0.6401321718233703,0.6915329896610316,0.0,0.01969573736552183,0.8923445687316511,0.0,0.03821564671598296,0.7792088525441329
normal,creek,creek_03561.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_03561.png,0.9520190274841438,0.9563265007106678,0.6345955052234008,0.9998474840738177,0.0,0.00015251592618229173,,0.9240590333938599,0.11808240006212145,378400,0.0,0.9998630295750756,0.9038594109599211,0.0,0.9128055173475179,0.9998474840738177,0.0,0.9543530074318414,0.949433508238361
low_light,creek,creek_03561.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_03561.png,0.9532373150105709,0.9573843516786463,0.6354042010872973,0.9992843483463754,0.0,0.0007156516536245996,,0.9242331385612488,0.10276479995809495,378400,0.0,0.99935949599685,0.9064892909405348,0.0,0.9154843550109173,0.9992843483463754,0.0,0.9555849508409868,0.9506276524209052
gaussian_blur,creek,creek_03561.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_03561.png,0.9066173361522198,0.9150274616931023,0.6148358025222453,1.0,0.0,0.0,,0.8922700881958008,0.10454959992785007,378400,0.0,1.0,0.8821240440042638,0.0,0.8300549233862047,1.0,0.0,0.907136625003942,0.9373707825627942
fog,creek,creek_03561.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_03561.png,0.950504756871036,0.9548862676170939,0.6335863396469131,0.9991552964088365,0.0,0.0008447035911634619,,0.9231572151184082,0.10547159996349365,378400,0.0,0.9992400453861783,0.901622422782733,0.0,0.9106172388253513,0.9991552964088365,0.0,0.9528724670429354,0.9478865518978042
synthetic_snow,creek,creek_03561.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_03561.png,0.9379677589852008,0.9435544376364668,0.6252553236027655,1.0,0.0,0.0,,0.968169093132019,0.10761349997483194,378400,0.0,1.0,0.878972090313333,0.0,0.8871088752729337,1.0,0.0,0.9401777363212609,0.9355882344870357
